usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,global_id
MATG,1,2,100,100,0.4399801697010422,0.9810597352117704,0.1981399600820706,36
MATG,1,3,25,75,0.4548557836209679,0.9298478876940789,0.04792883266966079,36
MATG,2,0,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,36
MATG,2,1,0,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,36
MATG,2,2,0,0,0.45749702791405916,0.7946569601331365,0.08534473351778746,36
MATG,2,3,100,100,0.49299214077334197,0.7068230395052644,0.07178876097302342,36
CIHC,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,37
CIHC,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,37
CIHC,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,37
CIHC,0,3,25,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,37
LMC,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,38
LMC,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,38
LMC,0,2,75,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,38
LMC,0,3,75,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,38
JAS,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,39
JAS,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,39
JAS,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,39
JAS,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,39
DAG,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,40
DAG,0,1,25,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,40
DAG,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,40
DAG,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,40
OMG,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,41
OMG,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,41
OMG,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,41
OMG,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,41
DRD,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,42
DRD,0,1,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,42
DRD,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,42
DRD,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,42
DRD,1,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,42
DRD,1,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,42
DRD,1,2,0,100,0.458904671142526,0.8955263303423449,0.3041781438270339,42
DRD,1,3,25,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,42
JAFF,0,0,0,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,43
JAFF,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,43
JAFF,0,2,0,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,43
JAFF,0,3,75,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,43
JCGA,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,44
JCGA,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,44
JCGA,0,2,100,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,44
JCGA,0,3,100,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,44
ZFG,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,45
